"product_title","main_category","product_categoryf","sub_category","description","price","stock_quantity","brand","main_image","colors","sizes","gender","cosmetic_size","decor_style","decor_type","dimensions","manufacure","model","gas","doors","kmage","age","emission","engine","power_engine","kids_type","kids_for","type","country","city","postcode","facilities","gallery","thumb"
"Indesit IWDC6125S Washer Dryerf","CLOTHINg","dress","Subcategory1","With the Hoover WMH148DF Washing Machine, you have a AAA Rated Performance with a wide range of options. The very large 8kg Load capacity allows you to wash more with fewer loads . Thanks to the 18 built-in Programmes you have wider range of options for cleaning a many types of clothing to achieve the best possible results.","39.99","33","brand1","http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg","red,blue,brown","cl1,cl2","male","","","","","","","","","","","","","","","","","","","","","http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{thumb}http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{gallery}
    http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{thumb}http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{gallery}
    http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{thumb}http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{gallery}
    http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{thumb}http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{gallery}","http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg"
"4 Gamers HEADSETSTARTKIT Console Games &amp; Accessories","CLOTHING","dress","Subcategory1","This Stereo Gaming Headset Starter Kit offers everything you need, including a lightweight stereo gaming headset, sleek desktop storage stand and twin controller charging cable all in one convenient package.","39.99","35","brand1","http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg","blue,brown","cl1,cl2","female","","","","","","","","","","","","","","","","","","","","","http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg<thumb>http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg<gallery>
http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg<thumb>http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg<gallery>
    http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg<thumb>http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg<gallery>
    http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg<thumb>http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg<gallery>","http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg"
"4 Gamers HEADSETSTARTKIT Console Games &amp; Accessories","TRAVEL","","Subcategory1","This Stereo Gaming Headset Starter Kit offers everything you need, including a lightweight stereo gaming headset, sleek desktop storage stand and twin controller charging cable all in one convenient package.","55","33","brand1","","","","","","","","","","","","","","","","","","","","","","","","","http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{thumb}http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{gallery}
    http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{thumb}http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{gallery}
    http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{thumb}http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{gallery}
    http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{thumb}http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{gallery}","http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg"
"4 Gamers HEADSETSTARTKIT Console Games &amp; Accessories","Travel","","","This Stereo Gaming Headset Starter Kit offers everything you need, including a lightweight stereo gaming headset, sleek desktop storage stand and twin controller charging cable all in one convenient package.","33","44","brand1","","","","","","","","","","","","","","","","","","","","","","","","","http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{thumb}http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{gallery}
    http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{thumb}http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{gallery}
    http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{thumb}http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{gallery}
    http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{thumb}http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{gallery}","http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg"
"4 Gamers HEADSETSTARTKIT Console Games &amp; Accessories","COSMETIC","Hair Care","subcat6","This Stereo Gaming Headset Starter Kit offers everything you need, including a lightweight stereo gaming headset, sleek desktop storage stand and twin controller charging cable all in one convenient package.","34","44","brand1","","","","","100 Mm,22,33#100 Mm,55,44","","","","","","","","","","","","","","","","","","","","http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{thumb}http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{gallery}
    http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{thumb}http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{gallery}
    http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{thumb}http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{gallery}
    http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{thumb}http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{gallery}","http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg"
"4 Gamers HEADSETSTARTKIT Console Games &amp; Accessories","JEWLERY","Anklets","subcat","This Stereo Gaming Headset Starter Kit offers everything you need, including a lightweight stereo gaming headset, sleek desktop storage stand and twin controller charging cable all in one convenient package.","55","8","brand","http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg","","25","","","","","","","","","","","","","","","","","","","","","","http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{thumb}http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{gallery}
    http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{thumb}http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{gallery}
    http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{thumb}http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{gallery}
    http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{thumb}http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{gallery}","http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg"
"4 Gamers HEADSETSTARTKIT Console Games &amp; Accessories","MOTOR","motor","subcat","This Stereo Gaming Headset Starter Kit offers everything you need, including a lightweight stereo gaming headset, sleek desktop storage stand and twin controller charging cable all in one convenient package.","333","3","brand1","http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg","red,blue,brown","3*5 , 2.5*3","","","","","","ferrari","modena","diesel","2 doors","","","","","","","","","","","","","http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{thumb}http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{gallery}
    http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{thumb}http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{gallery}
    http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{thumb}http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{gallery}
    http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{thumb}http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{gallery}","http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg"
"Hotpoint XDZH Miscellaneous","HOME DÉCOR","BedRoom","sub","Dcor panel for fully integrated dishwasher models","444","56","brand1","","","","","","modern","decortype1","dimensions","","","","","","","","","","","","","","","","","http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{thumb}http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{gallery}
    http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{thumb}http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{gallery}
    http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{thumb}http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{gallery}
    http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{thumb}http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{gallery}","http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg"
"Toshiba 40L3453 Televisions","ELECTRONICS","Accessories","subcat6","This Stereo Gaming Headset Starter Kit offers everything you need, including a lightweight stereo gaming headset, sleek desktop storage stand and twin controller charging cable all in one convenient package.","55","5","brand1","http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg","red,blue,brown","0-3M , 3-9M","","","","","","","","","","","","","","","","","","","","","","http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{thumb}http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{gallery}
    http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{thumb}http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{gallery}
    http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{thumb}http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{gallery}
    http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{thumb}http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{gallery}","http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg"
"4 Gamers HEADSETSTARTKIT Console Games &amp; Accessories","KIDS","Birthday Gifts","subcat8","This Stereo Gaming Headset Starter Kit offers everything you need, including a lightweight stereo gaming headset, sleek desktop storage stand and twin controller charging cable all in one convenient package.","33","","brand1","http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg","red,blue,brown","","","","","","","","","","","","","","","","baby","fashion","","","","","","http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{thumb}http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{gallery}
    http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{thumb}http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{gallery}
    http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{thumb}http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{gallery}
    http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{thumb}http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg{gallery}","http://www.apollodirect.co.uk/common/productpictures/4gm-headsetstartkit.jpg"
